,name,price,quantity,brand,model
0,BOSCH – F 026 407 181 – Filtr oleju ,50.44PLN,2,CITROEN,2 CV
1,FILTRON – OP 554 – Filtr oleju ,26.91PLN,1,CITROEN,2 CV
2,PAYEN – PA217 – Uszczelka korka spustowego oleju ,0.49PLN,0,CITROEN,2 CV
3,VAICO – V46-0422 – Korek spustowy oleju ,10.12PLN,0,CITROEN,2 CV
4,TRICLO – TRI321.007 – Korek spustowy oleju ,4.64PLN,0,CITROEN,2 CV
5,TRICLO – TRI325.251 – Korek spustowy oleju ,4.64PLN,0,CITROEN,2 CV
6,MANN-FILTER – W 712/9 – Filtr oleju ,44.17PLN,0,CITROEN,2 CV
7,KNECHT – OC5 – Filtr oleju ,47.81PLN,0,CITROEN,2 CV
8,PURFLUX – PX LS131 – Filtr oleju ,47.63PLN,0,CITROEN,2 CV
9,ERA – ERA770030 – Pompa paliwa ,966.90PLN,0,CITROEN,2 CV
10,IC_TURBO – MD76268E – Pompa paliwa ,370.14PLN,0,CITROEN,2 CV
11,DELPHI – FE0450-12B1 – Pompa paliwa ,303.99PLN,0,CITROEN,2 CV
12,PURFLUX – PX FCS614 – Filtr paliwa ,195.41PLN,1,CITROEN,C-CROSSER ENTERPRISE
13,HENGST FILTER – H346WK – Filtr paliwa ,188.33PLN,1,CITROEN,C-CROSSER ENTERPRISE
14,BLUE PRINT – ADC42361 – Filtr paliwa ,249.81PLN,0,CITROEN,C-CROSSER ENTERPRISE
15,MANN-FILTER – WK 12 004 – Filtr paliwa ,220.63PLN,0,CITROEN,C-CROSSER ENTERPRISE
